P1	yields
P2	employs
P0	addresses
P3	is a
P4	refers to
P5	uses
P6	author
P7	affiliation
P8	email
P9	ORCID
P10	DOI
P11	problem
P12	solution
P13	use case
P14	description
P15	implementation
P16	has
P17	has part
P18	part of
P19	input
P20	output
P21	programming language
P22	environment
P23	defines
P24	field
P25	web site
P26	has doi
P27	has author
P28	has publication month
P29	has publication year
P30	has research field
P31	has contribution
P32	has research problem
P33	approach
P34	evaluation
P35	implementation
P36	has subfield
P5000	Heuristic followed
P5001	deals with
P5002	uses similarity
P5003	Performance metric
P5004	Evidence
P5005	Uncertainty
P5006	Limitations
P5007	Clustering
P5008	Graph
P1000	uses library
P1001	uses graph
P1002	uses framework
P1003	url
P1004	model
P1005	method
P1006	result
P1007	experiment
P1008	conducted at
P1009	participants
P2000	robotised the workflow
P2001	Algorithm
P2002	Stable
P2003	Best complexity
P2004	Worst complexity
P2005	dataset
P2006	metric
P2007	presents
P4005	code List
P2008	Formalization
P2009	Formalization
P3000	keywords
P4004	dimension
P4007	structure
P4003	has specified output
P4006	measure
P3001	Feature extraction
P3002	Feature selection
P3003	Classification
P3004	Precision
P3005	Sensitivity
P3006	Specificity
P3007	propose
P4045	SASD
P4046	SADASdAD
P4000	R4001
P4001	label
P4002	R4009
HAS_EVALUATION	Has evaluation
HAS_APPROACH	Has approach
HAS_METHOD	Has method
HAS_IMPLEMENTATION	Has implementation
HAS_RESULTS	Has result
HAS_VALUE	Has value
HAS_METRIC	Has metric
P4008	component
P4009	has value specification
P4010	top Concept Of
P4011	in Scheme
P4012	type
P4013	Range
P4014	has specified numeric value
P4015	has specified input
P4018	Process
P4016	Material
P4017	Data
P4019	Company
P4020	MAPE
P4021	MAE
P4022	Institution
P4023	Person
P4024	Challenge
P4025	from Chartered Institute of Library and Information Professional’s Library and Information Gazette
P4026	over the period May 2006-2007
P4027	research skills
P4028	customer service
P4029	interpersonal skills
P4030	communication skills
P4031	general computing skills
P4032	between advertisements and Information National Training Organisation and Library and Information Management Employability Skills
P4033	available
P4034	is
P4035	between
P4036	using
P4037	listing
P4038	could be applicated to
P4039	is
P4040	between
P4041	using
P4042	listing
P4043	could be applicated to
P4044	restricted to
P4047	has size
P4048	from
P4049	has vertices
P4050	Has edges
P4051	provided by
P4052	is independent of
P4053	is about
P4054	based on
P4055	Has sample size
P4056	has methodology
P4057	Planung
P4058	Aktivität
P4059	Has url
P4060	capable of
P4061	is dependent of
P4062	showing
P4063	detecting
P4064	providing
P4065	finding
P4066	employing
P4067	leveraging
P4068	recognizing and normalizing
P4069	attaining
P4070	required skills for high-level staticians are
P4071	Jobs for lower level staticians are restricted to
P4072	sdfdasfsdfsf
P4073	fastText
P4074	Multipartite Rank
P4075	users
P4076	describes
P4077	source code
P4078	Information science
type	type
icon	icon
description	description
url	url
MATERIAL	Material
METHOD	Method
PROCESS	Process
DATA	Data
HAS_ORCID	Has ORCID
onHomepage	onHomepage
P5009	Task
P5010	Test questions
P5011	Train questions
P5012	Question language
P5013	Language
P5014	Question amount
P5015	Recall
P5016	F-measure
P5017	Runtime
P5018	On
P5019	Technique
P5020	Question analysis task
P5021	Phrase mapping task
P5022	Disambiguation task
P5023	Query construction task
P5024	Keyword
P5025	Filter
P5026	Sampling
P5027	Aggregation
P5028	Incremental
P5029	Disk
P5030	Domain
P5031	Application type
P5032	Data types
P5033	Visualization types
P5034	User recommendation
P5035	Preferences
P5036	Statistics
P5037	Sampling
P5038	Aggregation
P5039	Incremental
P5040	Disk
P5041	Domain
P5042	Application type
P5099	R6900
P5100	R6904
P7000	has material
P5043	Approach type
P5044	Document type
P5045	Summary usage
P5046	Summary characteristics
P5047	utilizes
P5048	sub system
P5049	location
P5050	see also
P5051	manufacturer
P5052	Webrosensor Oy
P5053	observes
P5054	vibration
P5055	WBS CM301 Datasheet
P5056	datasheet
P5057	Accelerometer vibration sensor (sd1)
P5058	Accelerometer vibration sensor (sd2)
P5059	Accelerometer vibration sensor (sd3)
P5060	AXIS 211W Wireless Network Camera
P5061	AXIS Communications
P5062	AXIS 211W Datasheet
P5063	A sensor network
P5064	website
P5065	Situation Theory Ontology
P5066	Waikato Environment for Knowledge Analysis
P5067	version
P5068	acronym
P5069	Observation
P5070	class
P5071	sensor
P5072	precision
P5073	recall
P5074	actual
P5075	predicted
P5076	instances
P5077	Apache Jena
P5078	Semantic Web Rule Language
P5079	Apache Cassandra
P5080	Apache Storm
P5081	purpose
P5082	operation
P5083	mode
P5084	Labelled Data
P5085	has part
P5086	value
P5087	number of hidden neurons
P5088	classes
P5089	algorithm
P5090	configuration
P5091	evaluation
P5092	is property of
P5093	pavement
P5094	label
P5095	class mappings
P5096	rule
P5097	performance
P5098	time
P7002	has user license
P7007	in presence of
P7009	Supports RDF
P7010	Uses graph store
P7011	Performed at
P7012	Cohort size
P7013	Has formula
P7014	Demo video
P7015	Architecture
P7016	Figure
P5101	R6906
P5102	R6908
P5103	order
P5104	R6915
P5105	R6918
P5108	R6933
P5106	R6926
P5107	R6928
P5109	R6935
P5110	R6938
P5111	R6939
P7044	Has video
P6000	material & methods
P6001	results
P6002	Results
P6003	has ingredient
P6004	has property
P7001	wha
P7003	has number
P7004	has unit
P7005	targeting
P7008	by using
P7006	state of research
P7045	Related video
P7017	R8136
P7018	R8138
P7019	R8141
P7020	R8145
P7021	R8148
P7022	R8150
P7023	R8156
P7024	R8160
P7025	R8167
P7026	R8168
P7027	R8169
P7028	R8171
P7029	R8176
P7030	R8179
P7031	R8183
P7032	R8180
P7033	Material
P7034	Ontology
P7035	Full name
P7036	Example class
P7037	Description
P7038	Class count
P7039	Object property count
P7040	Data property count
P7041	Uses ontology
P7042	IRI
P7043	Website
P15018	Implemented into real vehicle
P15003	has source
P15004	Quick summary
P15005	Features used and feature selection
P15006	Machine learning algorithms
P7046	Semantic representation
P7047	Scope
P7048	Prospective/retrospective
P7049	Acquisition
P7050	Metadata
P7051	High level claims
P7052	Supports research data
P7053	Natural language statements
P7054	Discourse
P7055	Data type
P7056	Knowledge representation
P15026	Lemmas
P15027	# Entries
P15028	Labels
P15029	Tested for SA
P15030	POS Tags
P15031	MSA
P15032	Dialect
P15033	Emoticons
P15034	Availability
P7078	has object
P7079	Investigates
P7080	Uses technique
P7081	Analyzed for features
P7067	deployed in
P7069	measured by
P7073	uses tool
P7074	Used for
P7075	has outcome
P7076	Addressed by
P7077	has objective
P7057	has subProblem
P7058	Results from
P7059	Functions identical to
P7060	Results in
P7061	has characteristic
P7062	achieved by
P7063	establishes
P7064	has length
P7065	has feature
P7066	has function
P7068	Measures
P7113	has quality
P7070	has duration
P7071	Has finding
P7072	has conclusion
