R28045	P15259	R27853
R67360	P33147	L234055
R62596	P33134	L177231
R54696	P31005	L106635
R57828	P30002	L126878
R54550	P32119	L105175
R34782	P15696	L73656
R64908	P33148	L204632
R59121	P33049	L138587
R60719	P33130	L154703
R44467	P23117	L82649
R64089	P33144	L194821
R25681	P5036	L48621
R69680	compareContribution	R69569
R60389	P33133	L150746
R29011	P15316	L58809
R34415	P27	L72432
R26745	P27	L53147
R69520	P27	L240505
R59590	P33041	L143269
R54075	P27030	L100618
R56802	P30002	L118477
R55148	P30	R50
R59960	P33101	L146402
R53358	P31023	L98789
R9512	P29	L9143
R65378	P33152	L210276
R65664	P33146	L213702
R66954	P2005	R63783
R54242	P31005	L102257
R62977	P33132	L181801
R59866	P33089	L145418
R58349	P33043	L130861
R60680	P33138	L154243
R62004	P33138	L170131
R30440	P15343	R29406
R62559	P33139	L176792
R58193	P33047	L129305
R60123	P33121	L147731
R42011	HAS_ORCID	L80017
R5269	P4016	R5271
R54163	P30001	L101479
R29105	P4012	R29020
R66526	P33152	L224052
R26307	P15146	R26304
R67266	P2005	R63783
R35038	HAS_IMPLEMENTATION	R35040
R48402	compareContribution	R48375
R58842	P33048	L135796
R56617	P31024	L116770
R25874	P27	L49941
R2069	P31	R2085
R62249	P33139	L173072
R65187	P33142	L207974
R64994	P33145	L205661
R30761	P31	R30929
R65726	P33144	L214444
R67371	P33143	L234183
R59275	P33044	L140122
R63420	P33131	L187116
R56684	P29	L117403
R48420	P15700	L89825
R28954	P15305	R25666
R64314	P33152	L197529
R34183	compareContribution	R34141
R59282	P33043	L140191
R53183	P27	L97449
R65076	P33149	L206649
R25927	P26	L50295
R27518	P31	R27519
R62229	P33139	L172832
R32743	P27	L67159
R62485	P33140	L175905
R62844	P33130	L180203
R61225	P33132	L160777
R31710	P15439	L63693
R54579	P30002	L105463
R32908	P15535	L68316
R62663	P33140	L178041
R59338	P33050	L140758
R58181	P33047	L129185
R66374	P33143	L222219
R38655	P29	L76582
R63269	P33130	L185303
R63165	P33131	L184056
R66339	P33143	L221799
R61883	P33140	L168681
R65322	P33145	L209597
R67529	P33144	L236080
R59373	P33041	L141099
R56354	P27030	L114511
R64921	P33142	L204782
R65513	P33148	L211892
R57209	HAS_VENUE	R1012
R57670	P30004	L125153
R61033	P33135	L158476
R4336	P4034	L3143
R25783	P27	L49208
R54975	P27	L108686
R65490	P33147	L211615
R30785	P31	R30885
R61246	P33140	L161037
R27144	P31	R27145
R58821	P33042	L135580
R31906	P30	R11
R23262	P26032	L44932
R57886	P27030	R49276
R6633	P31	R6634
R58671	P33048	L134086
R25587	P26	L241319
R66724	P33147	L226423
R60332	P33131	L150060
R58549	P33047	L132865
R62808	P33133	L179774
R61519	P33138	L164311
R25571	P29	L48243
R58331	P33049	L130687
R64934	P33152	L204948
R9632	HAS_IMPLEMENTATION	R9638
R63466	P33130	L187667
R62670	P33132	L178117
R32929	P15553	L68635
R64859	P33152	L204048
R54624	P32118	L105906
R63773	P2005	R60165
R62265	P33130	L173255
R62225	P33129	L172774
R32702	P15524	R32545
R62824	P33133	L179966
R31809	compareContribution	R31784
R30761	P27	L61747
R64540	P33141	L200230
R54768	P30002	L107338
R65558	P33145	L212429
R28826	P26	L240231
R30554	P15362	L60989
R62017	P33134	L170283
R65946	P33142	L217082
R66521	P33151	L223991
R25827	P15088	L49610
R34397	P27	L72375
R64691	P33150	L202051
R69634	P34086	R69537
R57501	compareContribution	R57278
R66042	P33147	L218239
R8186	P27	R8011
R55054	P29012	L109405
R48337	P26	L89566
R66187	P33149	L219981
R32228	P28	L65806
R69257	TemplateComponentOccurrenceMin	L239513
R56534	P31023	L115974
R59591	P33043	L143281
R62938	P33131	L181332
R31326	P29	L62838
R6811	P5081	L5373
R58474	P33046	L132114
R58380	P33042	L131170
R25899	P15085	L50125
R6946	compareContribution	R6378
R61691	P33137	L166374
R57754	P31024	L126088
R28067	P27	L56517
R41147	P20019	L79369
R54240	P30001	L102231
R54190	P27	L101741
R61441	P33132	L163369
R64279	P33151	L197108
R69311	P33040	L239706
R58638	P2005	R58159
R61201	P33134	L160491
R68321	P20016	R68585
R30659	P15377	R30657
R25453	P28	L47619
R60967	P33137	L157686
R36153	compareContribution	R36133
R65077	P33150	L206662
R62849	P33130	L180263
R59868	P33076	L145435
R61519	P33132	L164305
R55041	P31	R55042
R61897	P33138	L168847
R44825	P27	R56033
R60671	P2005	R60165
R66443	P33147	L223051
R54867	compareContribution	R54827
R27659	P29	L55722
R26385	P27	L52261
R58373	P33043	L131101
R54197	P32093	L101818
R66392	P33143	L222435
R34261	P15237	R34259
R34367	P15643	L72263
R27401	P27	L54909
R56633	P31024	L116923
R59426	P33041	L141629
R54513	P28	L104825
R52040	P30000	L95312
R54831	P31024	L107964
R66931	P33150	L228910
R54016	P29	L100057
R53040	P27	L97057
R49542	P31	R49543
R23315	P7120	L45137
R12245	P31	R12246
R59865	P33083	L145397
R63110	P2005	R60165
R60900	P33133	L156878
R59187	P33048	L139246
R63225	P33132	L184777
R66244	P33152	L220668
R50041	contains	R50039
R56254	P27030	L113698
R29269	P15337	R29267
R54693	P9040	L106595
R59365	P33046	L141024
R28614	compareContribution	R28537
R67415	P2005	R63783
R57068	P30001	L120954
R57013	P30004	L120443
R57673	P31005	L125185
R57257	P9040	L122731
R6350	P29	L4492
R60073	P33112	L147457
R57047	P31024	L120765
R55124	P29012	L110058
R66718	P33141	L226345
R63533	P33134	L188475
R53059	HAS_ORCID	L97075
R65921	P33150	L216790
R33864	P15609	R33852
R32576	P15072	L66460
R65345	P33141	L209869
R25380	P27	L47436
R61991	P33132	L169969
R55035	P31024	L109233
R67811	P33155	L237402
R64945	P33150	L205078
R60031	P33104	L146945
R60636	P33136	L153713
R65035	P33147	L206155
R59675	P33045	L144123
R57655	P31024	L124979
R44668	type	R10044
R36138	P26	L74544
R62996	P33137	L182034
R60151	P2005	R60076
R54450	P29012	L104218
R64156	P33141	L195622
R34728	P15684	L73454
R63405	P33132	L186937
R30804	P15380	L61998
R62108	P33134	L171375
R46642	P25060	L87864
R64075	P33149	L194658
R30333	P15344	R30313
R38722	P17	R38740
R64187	P33149	L196002
R31688	P15427	L63396
R53234	P27030	L97932
R28818	P32	R28618
R56521	P33008	L115865
R68715	P32	R68713
R9520	P7216	L9172
R56635	P9040	L116934
R32569	P15072	L66421
R60053	P2005	R59993
R48367	P31	R48373
R63420	P33134	L187119
R66151	P2005	R63783
R27443	P27	L55100
R61177	P2005	R60165
R62848	P33131	L180252
R54195	P31023	L101788
R68538	compareContribution	R68456
R67236	P33148	L232568
R62224	P33129	L172762
R60882	P33140	L156669
R67526	P33144	L236044
R61006	P33134	L158151
R57326	P27	L123365
R65768	P33148	L214952
R60252	P33138	L149107
R31296	P15417	L62785
R58196	P33043	L129331
R58928	P33047	L136655
R6499	P27	L4827
R63002	P33129	L182098
R34098	P15622	L71346
R61087	P33138	L159127
R54321	P32119	L102980
R29240	compareContribution	R29209
R56751	P31023	L118008
R25846	P27	L49754
R26780	P27	L53244
R63573	P33132	L188953
R61879	P33133	L168626
R30883	P15388	R30819
R63569	P33131	L188904
R60601	P2005	R60165
R54960	P29012	L108552
R59693	P2005	R58159
R63410	P33137	L187002
R57074	P15068	L121014
R54984	P27	L108771
R58564	P33048	L133016
R25543	P27	L48119
R64579	P33149	L200706
R62593	P33132	L177193
R65609	P33149	L213045
R62240	P2005	R60165
R63979	P33151	L193508
R65184	P33152	L207948
R25696	P15075	L48686
R59659	P33045	L143963
R53233	P30004	L97925
R57127	P31005	L121499
R64647	P33143	L201516
R6873	P5069	R6879
R67038	P2005	R63783
R332	P36	R336
R62931	P33130	L181247
R67517	P33144	L235936
R64104	P33143	L195000
R54383	P29012	L103571
R9233	P26020	L8981
R57855	P31024	L127192
R62827	P33135	L180004
R68730	P29	L238919
R59443	P33046	L141804
R25418	P27	L47511
R44776	P27	R70314
R65281	P33147	L209107
R64089	P33149	L194826
R59134	P33044	L138712
R58504	P33041	L132409
R27169	P15188	R27138
R8481	P7000	R8489
R64705	P33152	L202221
R62739	P33129	L178942
R60454	P33139	L151532
R65262	P33151	L208883
