R68025	P32	R68023
R58803	P33049	L135407
R55110	HAS_RESULTS	R41038
R56294	P30001	L114028
R61549	P33137	L164670
R48392	url	L89740
R27221	P15190	L54193
R59431	P33044	L141682
R25104	P1009	L46262
R57803	P27	L126595
R69652	P34076	R69531
R62536	P33135	L176512
R54199	P30001	L101831
R60410	P33130	L150995
R65669	P33151	L213767
R61697	P33130	L166439
R57443	P9065	R57453
R32935	P15578	L68754
R61358	P33135	L162376
R44407	P23007	R57428
R54552	P29012	L105195
R66840	P33145	L227813
R67446	P33141	L235081
R57683	P27030	R49276
R61292	P33139	L161588
R38665	P18082	R38664
R56710	P29	L117639
R59954	P33096	L146325
R57828	P33038	L126880
R59621	P33050	L143588
R69670	P29	L240865
R25784	P15086	L49217
R67051	P33142	L230342
R57730	P30002	L125803
R56978	P31005	L120072
R59787	P33063	L144813
R66402	P33147	L222559
R61320	P33138	L161923
R52121	P30002	L95982
R58696	P33049	L134337
R26367	P32	R26155
R55131	P31023	L110121
R70742	P27	L243027
R66658	P33148	L225632
R69292	P15327	L239645
R25847	P15086	L49763
R5027	P4016	R5028
R67543	P33144	L236248
R68479	P32	R68531
R29160	P15328	R29131
R60800	P33139	L155684
R68857	HAS_RESULTS	R68821
R44675	compareContribution	R43040
R64409	P33146	L198663
R69678	P30	R133
R58781	P33041	L135179
R54846	P30001	L108111
R61623	P33129	L165550
R25994	P32	R25962
R33985	P31	R33986
R65368	P33149	L210153
R60121	P33123	L147703
R28377	P31	R28378
R5269	P4016	R5280
R29962	P27	L60117
R4483	P27	L301
R59482	P33042	L142190
R29051	P15325	L58939
R58645	P33045	L133823
R32908	P32	R32872
R44726	P27	L83672
R59975	P33100	L146581
R26688	P15165	L52999
R67133	P33147	L231331
R63360	P33138	L186403
R63974	P33141	L193438
R63409	P33130	L186983
R66514	P33141	L223897
R54719	P31005	L106864
R34421	P31	R34423
R53255	P26	L98124
R25679	P5030	R25666
R62630	P33131	L177636
R27514	P30	R11
R107	P36	R108
R51231	P31	R70095
R61977	P33132	L169801
R64133	P33141	L195346
R38718	P4003	R38722
R65394	P33142	L210458
R46086	P25008	L86116
R60434	P33133	L151286
R29047	P31	R29048
R31764	P32	R31726
R58184	P33050	L129218
R57359	P28	L123671
R51233	P18060	R51234
R31915	P15335	L64748
R33963	P27	L71098
R58278	P33046	L130154
R50429	P31	R50430
R29886	P15343	R29884
R63376	P33130	L186587
R31574	P32	R31303
R61685	P33130	L166295
R59215	P33041	L139519
R66794	P33146	L227262
R25124	P27	L46355
R38438	P27	L129087
R26728	P15155	R26726
R65252	P33148	L208760
R67671	P26	L237189
R55305	HAS_EVALUATION	L110917
R66576	P33142	L224642
R64241	P33143	L196644
R57846	P33037	L127083
R58223	P33050	L129608
R66290	P33149	L221217
R50745	P7037	L94049
R29243	P26	L59431
R53311	P31	R53312
R57935	P28	L128093
R61005	P33136	L158141
R67636	P27	L237129
R32920	P29	L68491
R67240	P33143	L232611
R58145	HAS_RESULTS	R58142
R28550	P15282	L57527
R34289	P15239	R34287
R34342	P15648	R34320
R61647	P33132	L165841
R60136	P33120	L147925
R67465	P33147	L235315
R34766	P15690	R34763
R62294	P33130	L173603
R29410	P30	R11
R64977	P33148	L205460
R58559	P33044	L132962
R43039	P27	L81645
R63997	P33141	L193714
R25728	P26	L48899
R56979	P30001	L120075
R30155	P15343	R29513
R65447	P33142	L211094
R33535	P15592	R33533
R61193	P33133	L160394
R67562	P33149	L236481
R58959	P33049	L136967
R25651	P30	R11
R67153	P33150	L231574
R58948	P2005	R58159
R64481	P33144	L199525
R54532	P31024	L105009
R60276	P33131	L149388
R34942	P32	R2059
R64134	P2005	R63783
R33280	P28	L69684
R27566	P27	L55446
R25495	compareContribution	R25464
R26617	P15159	R26616
R63271	P33130	L185327
R46013	P32	R46014
R62381	P33135	L174652
R66521	P33152	L223992
R58785	P2005	R58159
R62035	P33138	L170503
R66400	P2005	R63783
R60017	P5103	L146798
R59494	P33047	L142315
R59343	P33049	L140807
R56713	P15068	L117669
R60365	P33133	L150458
R34061	P15622	L71305
R65820	P33147	L215575
R8376	P31	R8377
R9222	P7144	R9233
R62746	P33139	L179036
R63019	P33133	L182306
R67116	P33144	L231124
R25865	P27	L49877
R58207	P33049	L129447
R64882	P33145	L204317
R4398	P4017	R4401
R410	P36	R411
R60239	P33136	L148949
R46615	P31	R46616
R29849	P15239	R29521
R64256	P2005	R63783
R54128	P27	L101137
R67176	P33151	L231851
R61436	P33137	L163314
R43039	P27	L81615
R54793	P27	L107584
R63293	P33130	L185591
R63625	P33129	L189574
R54586	P27030	L105527
R68282	P31	R68863
R65099	P33142	L206918
R4412	P4047	L3199
R58002	compareContribution	R57810
R60255	P33135	L149140
R59596	P33049	L143337
R6705	HAS_VENUE	R58006
R27685	P31	R27686
R60273	P2005	R60165
R62192	P33131	L172380
R54066	P31	R54067
R59734	P33059	L144484
R58651	P33047	L133885
R67050	P33147	L230335
R26654	compareContribution	R26647
R60295	P33138	L149623
R52066	P29011	L95526
R64930	P33150	L204898
R54584	P30001	L105511
R56164	P31	R56165
R44220	P23061	L82237
R63228	P33133	L184814
R62769	P33139	L179312
R57815	P31005	L126742
R38236	P18043	R38239
R56954	P30001	L119840
R28504	P15276	L57338
R59308	P33046	L140454
R66928	P33146	L228870
R32475	P27	L66146
R26307	P15142	R26148
R58921	P33046	L136584
R51267	P27	L112047
R32656	P30	R11
R69340	HAS_RESULTS	R67856
R64826	P33145	L203645
R66491	P33141	L223621
R65688	P33151	L213995
R4443	P3	R10
R60708	P33137	L154578
R61899	P33133	L168866
R70153	P18057	R51226
R34529	P26	L72692
R6680	P5043	R6545
R61103	P33134	L159315
R65253	P33150	L208774
R44806	HAS_VENUE	R44807
R34131	P15072	L71515
R59357	P33050	L140948
R67370	P33141	L234169
R54057	P31005	L100459
R58581	P33045	L133183
R65147	P33144	L207496
R60600	P33133	L153278
R70008	P27	L241654
R66110	P33145	L219053
R63530	P33130	L188435
R25356	P29	L47394
R34417	P27	L72441
R62060	P33135	L170800
R65611	P33147	L213067
R69516	HAS_VENUE	R69525
R57213	P27030	L122305
R63761	P33130	L191207
R57698	P27	L125473
R26376	P15149	R26375
R9095	P32	R9138
R38970	P32	R38921
R58623	P33049	L133607
R57599	P30004	L124396
